Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
session_end,Page,2024-01-18T16:06:20.403Z,,,Chrome,120.0.0.0,3637895.5999999046,1536,864,,,,2024-01-18T15:05:57.871Z,2024-01-18T21:36:20.399Z,False,False,False,False,,,
mousemove,Page,2024-01-18T15:05:57.871Z,,,Chrome,120.0.0.0,15363.300000190737,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,283.0,355.0,
scroll,Page,2024-01-18T15:05:57.388Z,,,Chrome,120.0.0.0,14880.099999904633,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,0.0,337.2799987792969,
scroll,Page,2024-01-18T15:05:57.206Z,,,Chrome,120.0.0.0,14698.5,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,0.0,337.9200134277344,
mousemove,Page,2024-01-18T15:05:53.405Z,,,Chrome,120.0.0.0,10896.699999809263,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,176.0,568.0,
scroll,Page,2024-01-18T15:05:57.106Z,,,Chrome,120.0.0.0,14597.800000190737,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,0.0,337.2799987792969,
mousemove,Page,2024-01-18T15:05:55.516Z,,,Chrome,120.0.0.0,13008.300000190737,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,192.0,405.0,
mousemove,Page,2024-01-18T15:05:55.125Z,,,Chrome,120.0.0.0,12617.099999904633,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,193.0,405.0,
mousemove,Page,2024-01-18T15:05:55.064Z,,,Chrome,120.0.0.0,12555.900000095367,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,193.0,406.0,
mousemove,Page,2024-01-18T15:05:54.924Z,,,Chrome,120.0.0.0,12415.800000190737,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T15:05:57.871Z,,False,False,False,False,192.0,407.0,
