Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
session_end,Page,2024-01-20T12:27:08.266Z,,,Chrome,120.0.0.0,15225.0,1536,864.0,,,,2024-01-20T12:27:07.825Z,2024-01-20T17:57:08.266Z,False,False,False,False,,,
session_end,Page,2024-01-30T07:23:07.913Z,,,Chrome,120.0.0.0,17247.79999998212,1536,864.0,,,,2024-01-30T07:23:07.518Z,2024-01-30T12:53:07.913Z,False,False,False,False,,,
session_end,Page,2024-01-20T12:27:08.266Z,,,Chrome,120.0.0.0,15225.0,1536,864.0,,,,2024-01-20T12:27:07.825Z,2024-01-20T17:57:08.266Z,False,False,False,False,,,
click,Page,2024-01-20T12:08:49.361Z,,,Chrome,120.0.0.0,2927.099999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:08:49.361Z,,False,False,False,False,656.0,123.0,
session_end,Page,2024-01-20T12:26:57.470Z,,,Chrome,120.0.0.0,4708.800000190735,1536,864.0,,,,2024-01-20T12:26:54.696Z,2024-01-20T17:56:57.469Z,False,False,False,False,,,
click,Page,2024-01-20T12:08:49.361Z,,,Chrome,120.0.0.0,2927.099999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:08:49.361Z,,False,False,False,False,656.0,123.0,
mousemove,Page,2024-01-20T12:08:48.857Z,,,Chrome,120.0.0.0,2423.599999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:08:49.361Z,,False,False,False,False,656.0,123.0,
mousemove,Page,2024-01-20T12:08:48.801Z,,,Chrome,120.0.0.0,2367.4000000953674,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:08:49.361Z,,False,False,False,False,656.0,123.0,
mousemove,Page,2024-01-20T12:08:48.376Z,,,Chrome,120.0.0.0,1942.900000095368,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:08:49.361Z,,False,False,False,False,653.0,138.0,
mousemove,Page,2024-01-20T12:08:48.282Z,,,Chrome,120.0.0.0,1848.199999809265,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:08:49.361Z,,False,False,False,False,654.0,139.0,
