Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
session_end,Page,2024-01-18T16:42:53.852Z,,,Chrome,120.0.0.0,14110.200000286102,1536,864.0,,,,2024-01-18T16:42:53.422Z,2024-01-18T22:12:53.851Z,False,False,False,False,,,
session_end,Page,2024-01-18T19:17:49.570Z,,,Chrome,120.0.0.0,5245.900000095367,1536,864.0,,,,2024-01-18T19:17:49.131Z,2024-01-19T00:47:49.570Z,False,False,False,False,,,
mousemove,Page,2024-01-18T19:17:49.131Z,,,Chrome,120.0.0.0,4807.099999904633,1536,864.0,Unknown,"(None,)",http://127.0.0.1:5001/,2024-01-18T19:17:49.618Z,,False,False,False,False,663.0,58.0,
session_end,Page,2024-01-18T16:42:53.852Z,,,Chrome,120.0.0.0,14110.200000286102,1536,864.0,,,,2024-01-18T16:42:53.422Z,2024-01-18T22:12:53.851Z,False,False,False,False,,,
scroll,Page,2024-01-18T16:42:50.695Z,,,Chrome,120.0.0.0,10953.200000286102,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:50.695Z,,False,False,False,False,0.0,497.9200134277344,
mousemove,Page,2024-01-18T16:42:50.320Z,,,Chrome,120.0.0.0,10578.300000190737,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:50.695Z,,False,False,False,False,648.0,95.0,
mousemove,Page,2024-01-18T16:42:50.256Z,,,Chrome,120.0.0.0,10514.10000038147,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:50.695Z,,False,False,False,False,650.0,95.0,
mousemove,Page,2024-01-18T16:42:49.915Z,,,Chrome,120.0.0.0,10174.10000038147,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:50.320Z,,False,False,False,False,650.0,95.0,
mousemove,Page,2024-01-18T16:42:49.704Z,,,Chrome,120.0.0.0,9962.60000038147,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:49.915Z,,False,False,False,False,642.0,99.0,
mousemove,Page,2024-01-18T16:42:49.612Z,,,Chrome,120.0.0.0,9871.10000038147,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:49.915Z,,False,False,False,False,640.0,99.0,
mousemove,Page,2024-01-18T16:42:49.371Z,,,Chrome,120.0.0.0,9629.10000038147,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:49.704Z,,False,False,False,False,645.0,100.0,
mousemove,Page,2024-01-18T16:42:48.422Z,,,Chrome,120.0.0.0,8680.800000190735,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:48.422Z,,False,False,False,False,650.0,60.0,
mousemove,Page,2024-01-18T16:42:47.806Z,,,Chrome,120.0.0.0,8064.5,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:48.422Z,,False,False,False,False,650.0,56.0,
mousemove,Page,2024-01-18T16:42:47.633Z,,,Chrome,120.0.0.0,7891.200000286102,1536,864.0,125.17.69.18,"(None,)",http://127.0.0.1:5001/,2024-01-18T16:42:48.422Z,,False,False,False,False,647.0,58.0,
